item_identificador,loja_identificador,vendas_totais,item_peso,item_conteudo_gordura,item_visibilidade,item_tipo,item_preco,loja_ano_estabelecimento,loja_tamanho,loja_tipo_localizacao,loja_tipo
FDL13,OUT013,139818.0,13.85,Regular,0.056271701,Café da Manhã,232.23,1997,Grande,Nível 3,Supermercado Tipo 1
FDI20,OUT013,548752.3600000001,19.1,Baixo Teor de Gordura,0.038531668000000005,Frutas e Vegetais,210.66,1997,Grande,Nível 3,Supermercado Tipo 1
FDY45,OUT018,381503.4,17.5,Baixo Teor de Gordura,0.026248606,Lanches,255.14,2019,Médio,Nível 3,Supermercado Tipo 2
FDL28,OUT013,46073.36,10.0,Regular,0.06312198200000001,Alimentos Congelados,231.77,1997,Grande,Nível 3,Supermercado Tipo 1
FDQ55,OUT045,138220.08,13.65,Regular,0.013064516,Frutas e Vegetais,115.58,2012,Desconhecido,Nível 2,Supermercado Tipo 1
FDG58,OUT017,202536.36,10.695,Regular,0.087272074,Lanches,153.8,2017,Desconhecido,Nível 2,Supermercado Tipo 1
FDR08,OUT035,189020.62,18.7,Baixo Teor de Gordura,0.03761584,Frutas e Vegetais,109.19,2014,Pequeno,Nível 2,Supermercado Tipo 1
NCW05,OUT045,364458.92,20.25,Baixo Teor de Gordura,0.148372897,Mercearia,108.89,2012,Desconhecido,Nível 2,Supermercado Tipo 1
FDE11,OUT046,425712.52,17.7,Regular,0.0,Alimentos Ricos em Amido,184.39,2007,Pequeno,Nível 1,Supermercado Tipo 1
FDH10,OUT027,891239.8800000001,12.857645184135977,Baixo Teor de Gordura,0.049066248,Lanches,192.45,1995,Médio,Nível 3,Supermercado Tipo 3
FDL34,OUT049,268184.24,16.0,Baixo Teor de Gordura,0.041009558,Lanches,141.25,2009,Médio,Nível 1,Supermercado Tipo 1
FDE40,OUT045,74303.28,15.6,Regular,0.09934482600000001,Laticínios,63.62,2012,Desconhecido,Nível 2,Supermercado Tipo 1
DRD37,OUT010,18642.4,9.8,Baixo Teor de Gordura,0.02316823,Bebidas Não Alcoólicas,47.51,2008,Desconhecido,Nível 3,Mercado
NCR54,OUT046,196411.0,16.35,Baixo Teor de Gordura,0.090562192,Cereais,198.21,2007,Pequeno,Nível 1,Supermercado Tipo 1
FDU57,OUT013,210659.12,8.27,Regular,0.089479661,Lanches,148.67,1997,Grande,Nível 3,Supermercado Tipo 1
FDQ46,OUT046,67112.64,7.51,Baixo Teor de Gordura,0.103813029,Lanches,113.75,2007,Pequeno,Nível 1,Supermercado Tipo 1
FDH38,OUT035,374978.56,6.425,Baixo Teor de Gordura,0.010436256000000001,Enlatados,115.58,2014,Pequeno,Nível 2,Supermercado Tipo 1
FDR47,OUT027,624254.08,12.857645184135977,Baixo Teor de Gordura,0.08704508600000001,Pães,196.78,1995,Médio,Nível 3,Supermercado Tipo 3
FDQ36,OUT045,33556.32,7.855,Regular,0.161875063,Confeitaria,35.68,2012,Desconhecido,Nível 2,Supermercado Tipo 1
FDC05,OUT018,315322.88,13.1,Regular,0.099186992,Alimentos Congelados,198.78,2019,Médio,Nível 3,Supermercado Tipo 2
FDL46,OUT035,35353.98,20.35,Baixo Teor de Gordura,0.054046706,Lanches,119.55,2014,Pequeno,Nível 2,Supermercado Tipo 1
FDM44,OUT049,196078.1,12.5,Baixo Teor de Gordura,0.031097948,Frutas e Vegetais,103.9,2009,Médio,Nível 1,Supermercado Tipo 1
FDQ45,OUT035,257265.12,9.5,Regular,0.010914988,Lanches,183.86,2014,Pequeno,Nível 2,Supermercado Tipo 1
NCM17,OUT013,80295.48,7.93,Baixo Teor de Gordura,0.07107667200000001,Mercearia,44.91,1997,Grande,Nível 3,Supermercado Tipo 1
NCE54,OUT017,165517.88,20.7,Baixo Teor de Gordura,0.027052013000000003,Cereais,73.94,2017,Desconhecido,Nível 2,Supermercado Tipo 1
FDC04,OUT027,459202.26,12.857645184135977,Baixo Teor de Gordura,0.044767801,Laticínios,241.89,1995,Médio,Nível 3,Supermercado Tipo 3
FDB38,OUT018,255667.2,19.5,Regular,0.027458099000000003,Enlatados,158.79,2019,Médio,Nível 3,Supermercado Tipo 2
FDS45,OUT035,285827.94,5.175,Regular,0.029490377,Lanches,107.66,2014,Pequeno,Nível 2,Supermercado Tipo 1
FDQ20,OUT017,56859.32,8.325,Baixo Teor de Gordura,0.029953314,Frutas e Vegetais,39.51,2017,Desconhecido,Nível 2,Supermercado Tipo 1
FDJ03,OUT045,88684.56,12.35,Regular,0.072541731,Laticínios,48.57,2012,Desconhecido,Nível 2,Supermercado Tipo 1
NCY54,OUT035,362128.62,8.43,Baixo Teor de Gordura,0.17766124600000002,Cereais,170.54,2014,Pequeno,Nível 2,Supermercado Tipo 1
DRI01,OUT046,258663.3,7.97,Baixo Teor de Gordura,0.034452949000000004,Bebidas Não Alcoólicas,174.04,2007,Pequeno,Nível 1,Supermercado Tipo 1
FDU19,OUT049,137953.76,8.77,Regular,0.046844194000000006,Frutas e Vegetais,174.24,2009,Médio,Nível 1,Supermercado Tipo 1
NCR29,OUT027,254668.5,12.857645184135977,Baixo Teor de Gordura,0.054376275,Mercearia,56.29,1995,Médio,Nível 3,Supermercado Tipo 3
FDB02,OUT045,299942.9,9.695,Regular,0.029223424,Enlatados,175.44,2012,Desconhecido,Nível 2,Supermercado Tipo 1
FDU16,OUT045,92279.88,19.25,Regular,0.0,Alimentos Congelados,82.59,2012,Desconhecido,Nível 2,Supermercado Tipo 1
DRH59,OUT010,7323.8,10.8,Baixo Teor de Gordura,0.09780561500000001,Bebidas Alcoólicas,73.94,2008,Desconhecido,Nível 3,Mercado
FDP49,OUT049,71839.82,9.0,Regular,0.069196376,Café da Manhã,54.36,2009,Médio,Nível 1,Supermercado Tipo 1
FDL10,OUT035,168647.14,8.395,Baixo Teor de Gordura,0.039484739000000005,Lanches,97.9,2014,Pequeno,Nível 2,Supermercado Tipo 1
FDP52,OUT035,321581.4,18.7,Regular,0.0,Alimentos Congelados,229.2,2014,Pequeno,Nível 2,Supermercado Tipo 1
FDA32,OUT017,647157.6,14.0,Baixo Teor de Gordura,0.0,Frutas e Vegetais,216.92,2017,Desconhecido,Nível 2,Supermercado Tipo 1
FDG12,OUT027,373580.38,12.857645184135977,Regular,0.006295472000000001,Confeitaria,122.41,1995,Médio,Nível 3,Supermercado Tipo 3
FDB57,OUT013,311328.08,20.25,Regular,0.018789455,Frutas e Vegetais,222.08,1997,Grande,Nível 3,Supermercado Tipo 1
DRC36,OUT027,577847.82,12.857645184135977,Regular,0.044767032000000005,Bebidas Não Alcoólicas,173.71,1995,Médio,Nível 3,Supermercado Tipo 3
FDK46,OUT018,285628.2,9.6,Baixo Teor de Gordura,0.051677051,Lanches,258.06,2019,Médio,Nível 3,Supermercado Tipo 2
FDG21,OUT027,179766.0,12.857645184135977,Regular,0.14559143800000002,Frutos do Mar,148.71,1995,Médio,Nível 3,Supermercado Tipo 3
FDA08,OUT013,213788.38,11.85,Regular,0.050043472000000006,Frutas e Vegetais,164.65,1997,Grande,Nível 3,Supermercado Tipo 1
FDU23,OUT035,346748.64,12.15,Baixo Teor de Gordura,0.021719387,Pães,163.12,2014,Pequeno,Nível 2,Supermercado Tipo 1
FDL45,OUT017,187755.6,15.6,Baixo Teor de Gordura,0.037901015,Lanches,124.17,2017,Desconhecido,Nível 2,Supermercado Tipo 1
FDS24,OUT049,26565.42,20.85,Regular,0.062321222,Confeitaria,87.25,2009,Médio,Nível 1,Supermercado Tipo 1
FDO27,OUT046,134225.28,6.175,Regular,0.179077475,Açougue,94.38,2007,Pequeno,Nível 1,Supermercado Tipo 1
FDZ35,OUT027,319916.9,12.857645184135977,Regular,0.022170592000000003,Pães,105.2,1995,Médio,Nível 3,Supermercado Tipo 3
FDA39,OUT017,106061.94,6.32,Baixo Teor de Gordura,0.012789884000000001,Açougue,39.18,2017,Desconhecido,Nível 2,Supermercado Tipo 1
FDS25,OUT017,298411.56,6.885,Regular,0.1408005,Enlatados,111.42,2017,Desconhecido,Nível 2,Supermercado Tipo 1
FDQ26,OUT017,53330.58,13.5,Regular,0.068256316,Laticínios,60.96,2017,Desconhecido,Nível 2,Supermercado Tipo 1
NCI42,OUT049,229234.94,18.75,Baixo Teor de Gordura,0.010381661,Cereais,207.9,2009,Médio,Nível 1,Supermercado Tipo 1
FDZ33,OUT018,133026.84,10.195,Baixo Teor de Gordura,0.107834541,Lanches,146.51,2019,Médio,Nível 3,Supermercado Tipo 2
FDT31,OUT049,245813.36,19.75,Baixo Teor de Gordura,0.012467648000000001,Frutas e Vegetais,188.19,2009,Médio,Nível 1,Supermercado Tipo 1
NCD31,OUT017,312459.94,12.1,Baixo Teor de Gordura,0.015521768000000002,Cereais,165.85,2017,Desconhecido,Nível 2,Supermercado Tipo 1
FDO23,OUT045,217450.28,17.85,Baixo Teor de Gordura,0.0,Pães,93.14,2012,Desconhecido,Nível 2,Supermercado Tipo 1
FDD34,OUT049,179433.1,7.945,Baixo Teor de Gordura,0.015900971,Lanches,163.82,2009,Médio,Nível 1,Supermercado Tipo 1
FDV01,OUT019,15513.14,12.857645184135977,Regular,0.148737487,Enlatados,155.13,1995,Pequeno,Nível 1,Mercado
FDS01,OUT018,142214.88,11.6,Baixo Teor de Gordura,0.017817285000000002,Enlatados,177.07,2019,Médio,Nível 3,Supermercado Tipo 2
NCK07,OUT049,394686.24,10.65,Baixo Teor de Gordura,0.048762383000000006,Outros,165.25,2009,Médio,Nível 1,Supermercado Tipo 1
FDO60,OUT046,89217.2,20.0,Baixo Teor de Gordura,0.034369528,Confeitaria,43.71,2007,Pequeno,Nível 1,Supermercado Tipo 1
FDM27,OUT049,157794.6,12.35,Regular,0.158715731,Açougue,157.29,2009,Médio,Nível 1,Supermercado Tipo 1
FDB33,OUT045,318252.4,17.75,Baixo Teor de Gordura,0.014609738,Frutas e Vegetais,160.43,2012,Desconhecido,Nível 2,Supermercado Tipo 1
NCP41,OUT010,21571.92,16.6,Baixo Teor de Gordura,0.027133398000000003,Mercearia,106.26,2008,Desconhecido,Nível 3,Mercado
FDH58,OUT018,184293.44,12.3,Baixo Teor de Gordura,0.0,Lanches,116.48,2019,Médio,Nível 3,Supermercado Tipo 2
NCN26,OUT010,35154.24,10.85,Baixo Teor de Gordura,0.048004263000000005,Cereais,117.58,2008,Desconhecido,Nível 3,Mercado
FDY28,OUT018,427443.6,7.47,Regular,0.15277077,Alimentos Congelados,214.42,2019,Médio,Nível 3,Supermercado Tipo 2
FDI04,OUT013,395485.2,13.65,Regular,0.072851756,Alimentos Congelados,197.14,1997,Grande,Nível 3,Supermercado Tipo 1
FDB28,OUT013,257065.38,6.615,Baixo Teor de Gordura,0.09330766800000001,Laticínios,195.94,1997,Grande,Nível 3,Supermercado Tipo 1
FDE51,OUT027,129364.94,12.857645184135977,Regular,0.096000183,Laticínios,43.71,1995,Médio,Nível 3,Supermercado Tipo 3
FDX07,OUT027,457737.5,12.857645184135977,Regular,0.022807826,Frutas e Vegetais,183.5,1995,Médio,Nível 3,Supermercado Tipo 3
DRM11,OUT018,416524.48,6.57,Baixo Teor de Gordura,0.066338717,Bebidas Alcoólicas,261.43,2019,Médio,Nível 3,Supermercado Tipo 2
FDL57,OUT045,490827.76,15.1,Regular,0.06721284500000001,Lanches,260.23,2012,Desconhecido,Nível 2,Supermercado Tipo 1
NCP29,OUT018,83091.84,8.42,Baixo Teor de Gordura,0.112728355,Mercearia,65.82,2019,Médio,Nível 3,Supermercado Tipo 2
NCJ05,OUT017,167715.02,18.7,Baixo Teor de Gordura,0.046348967000000005,Mercearia,153.67,2017,Desconhecido,Nível 2,Supermercado Tipo 1
NCJ31,OUT046,337427.44,19.2,Baixo Teor de Gordura,0.18265377200000002,Outros,243.02,2007,Pequeno,Nível 1,Supermercado Tipo 1
FDW47,OUT010,24368.28,15.0,Baixo Teor de Gordura,0.077622622,Pães,121.84,2008,Desconhecido,Nível 3,Mercado
FDL58,OUT017,263656.8,5.78,Regular,0.0,Lanches,263.76,2017,Desconhecido,Nível 2,Supermercado Tipo 1
FDX40,OUT019,3861.64,12.857645184135977,Baixo Teor de Gordura,0.173324207,Alimentos Congelados,39.92,1995,Pequeno,Nível 1,Mercado
FDL39,OUT013,234561.34,16.1,Regular,0.063278652,Laticínios,182.13,1997,Grande,Nível 3,Supermercado Tipo 1
FDW16,OUT046,82692.36,17.35,Regular,0.041474232,Alimentos Congelados,93.08,2007,Pequeno,Nível 1,Supermercado Tipo 1
FDX11,OUT045,272645.1,16.0,Regular,0.10696857700000001,Confeitaria,180.56,2012,Desconhecido,Nível 2,Supermercado Tipo 1
FDY22,OUT035,57525.12,16.5,Regular,0.159690469,Lanches,142.41,2014,Pequeno,Nível 2,Supermercado Tipo 1
FDS09,OUT045,106261.68,8.895,Regular,0.08125293,Lanches,49.8,2012,Desconhecido,Nível 2,Supermercado Tipo 1
FDH47,OUT013,184692.92,13.5,Regular,0.128709014,Alimentos Ricos em Amido,96.11,1997,Grande,Nível 3,Supermercado Tipo 1
FDJ52,OUT035,320915.6,7.145,Baixo Teor de Gordura,0.017783501,Alimentos Congelados,159.46,2014,Pequeno,Nível 2,Supermercado Tipo 1
FDB35,OUT019,18376.08,12.857645184135977,Regular,0.11313948600000001,Alimentos Ricos em Amido,92.98,1995,Pequeno,Nível 1,Mercado
FDH48,OUT017,60587.8,13.5,Baixo Teor de Gordura,0.06082246,Confeitaria,85.15,2017,Desconhecido,Nível 2,Supermercado Tipo 1
NCP06,OUT049,332500.52,20.7,Baixo Teor de Gordura,0.039306822000000005,Cereais,150.74,2009,Médio,Nível 1,Supermercado Tipo 1
NCQ38,OUT013,202403.2,16.35,Baixo Teor de Gordura,0.013355306,Outros,105.53,1997,Grande,Nível 3,Supermercado Tipo 1
FDT01,OUT017,318585.3,13.65,Regular,0.18520944,Enlatados,212.99,2017,Desconhecido,Nível 2,Supermercado Tipo 1
NCL41,OUT018,34621.6,12.35,Baixo Teor de Gordura,0.041907648000000006,Mercearia,36.22,2019,Médio,Nível 3,Supermercado Tipo 2
FDY13,OUT035,222044.3,12.1,Baixo Teor de Gordura,0.030121709000000003,Enlatados,78.07,2014,Pequeno,Nível 2,Supermercado Tipo 1
FDN34,OUT049,236758.48,15.6,Regular,0.045835395,Lanches,168.21,2009,Médio,Nível 1,Supermercado Tipo 1
FDS48,OUT035,315988.6800000001,15.15,Baixo Teor de Gordura,0.027774002000000002,Confeitaria,152.37,2014,Pequeno,Nível 2,Supermercado Tipo 1
FDC45,OUT019,17111.06,12.857645184135977,Baixo Teor de Gordura,0.23765134400000001,Frutas e Vegetais,170.21,1995,Pequeno,Nível 1,Mercado
FDK33,OUT027,426112.0,12.857645184135977,Baixo Teor de Gordura,0.011180843000000001,Lanches,213.46,1995,Médio,Nível 3,Supermercado Tipo 3
NCN17,OUT046,160857.28,11.0,Baixo Teor de Gordura,0.054939029,Mercearia,101.44,2007,Pequeno,Nível 1,Supermercado Tipo 1
NCY29,OUT018,45274.4,13.65,Baixo Teor de Gordura,0.07754873200000001,Mercearia,55.09,2019,Médio,Nível 3,Supermercado Tipo 2
NCX54,OUT027,338759.04,12.857645184135977,Baixo Teor de Gordura,0.047827139000000005,Cereais,105.36,1995,Médio,Nível 3,Supermercado Tipo 3
FDX58,OUT045,421118.5000000001,13.15,Baixo Teor de Gordura,0.043852434,Lanches,182.7,2012,Desconhecido,Nível 2,Supermercado Tipo 1
FDU27,OUT010,4793.76,18.6,Regular,0.28701714,Açougue,48.84,2008,Desconhecido,Nível 3,Mercado
NCU05,OUT027,24168.54,12.857645184135977,Baixo Teor de Gordura,0.058451805,Mercearia,79.96,1995,Médio,Nível 3,Supermercado Tipo 3
NCC54,OUT049,361529.4,17.75,Baixo Teor de Gordura,0.09786283900000001,Mercearia,239.32,2009,Médio,Nível 1,Supermercado Tipo 1
FDX14,OUT019,7523.54,12.857645184135977,Baixo Teor de Gordura,0.13121032,Laticínios,74.04,1995,Pequeno,Nível 1,Mercado
FDA44,OUT010,5659.3,19.7,Baixo Teor de Gordura,0.089083914,Frutas e Vegetais,54.59,2008,Desconhecido,Nível 3,Mercado
FDV46,OUT018,265654.2,18.2,Baixo Teor de Gordura,0.012659235000000001,Lanches,140.72,2019,Médio,Nível 3,Supermercado Tipo 2
FDK55,OUT019,17843.44,12.857645184135977,Baixo Teor de Gordura,0.045105407,Açougue,89.42,1995,Pequeno,Nível 1,Mercado
FDV34,OUT018,51732.66,10.695,Regular,0.011472001,Lanches,75.2,2019,Médio,Nível 3,Supermercado Tipo 2
FDT26,OUT045,347547.6,18.85,Regular,0.068091318,Laticínios,120.64,2012,Desconhecido,Nível 2,Supermercado Tipo 1
FDU51,OUT045,389626.16,20.2,Regular,0.09670940800000001,Açougue,175.8,2012,Desconhecido,Nível 2,Supermercado Tipo 1
FDR40,OUT013,225573.04,9.1,Regular,0.008027701,Alimentos Congelados,81.16,1997,Grande,Nível 3,Supermercado Tipo 1
FDU02,OUT035,274842.24,13.35,Baixo Teor de Gordura,0.10249212,Laticínios,230.54,2014,Pequeno,Nível 2,Supermercado Tipo 1
FDQ11,OUT027,308398.56,12.857645184135977,Regular,0.067373081,Pães,258.9,1995,Médio,Nível 3,Supermercado Tipo 3
DRI51,OUT017,240486.96,17.25,Baixo Teor de Gordura,0.042480566000000004,Laticínios,173.48,2017,Desconhecido,Nível 2,Supermercado Tipo 1
FDJ26,OUT018,192349.62,15.3,Regular,0.08511049,Enlatados,215.72,2019,Médio,Nível 3,Supermercado Tipo 2
FDV20,OUT018,139884.58,20.2,Regular,0.060045008000000004,Frutas e Vegetais,128.37,2019,Médio,Nível 3,Supermercado Tipo 2
FDT38,OUT049,186024.52,18.7,Baixo Teor de Gordura,0.057626899999999995,Laticínios,83.36,2009,Médio,Nível 1,Supermercado Tipo 1
FDZ04,OUT013,37950.6,9.31,Baixo Teor de Gordura,0.037923509,Alimentos Congelados,61.65,1997,Grande,Nível 3,Supermercado Tipo 1
FDD46,OUT045,153799.8,6.035,Baixo Teor de Gordura,0.141542481,Lanches,153.2,2012,Desconhecido,Nível 2,Supermercado Tipo 1
FDA25,OUT045,123838.8,16.5,Regular,0.06826391600000001,Enlatados,104.8,2012,Desconhecido,Nível 2,Supermercado Tipo 1
NCS41,OUT027,165384.72,12.857645184135977,Baixo Teor de Gordura,0.053185208000000005,Mercearia,182.96,1995,Médio,Nível 3,Supermercado Tipo 3
FDF46,OUT045,126701.74,7.07,Baixo Teor de Gordura,0.09386114400000001,Lanches,115.58,2012,Desconhecido,Nível 2,Supermercado Tipo 1
FDN46,OUT017,328106.24,7.21,Regular,0.0,Lanches,103.13,2017,Desconhecido,Nível 2,Supermercado Tipo 1
NCC18,OUT027,206930.64,12.857645184135977,Baixo Teor de Gordura,0.176411579,Cereais,173.24,1995,Médio,Nível 3,Supermercado Tipo 3
FDA56,OUT046,426444.9,9.21,Baixo Teor de Gordura,0.008764786,Frutas e Vegetais,123.14,2007,Pequeno,Nível 1,Supermercado Tipo 1
NCF42,OUT027,369119.52,12.857645184135977,Baixo Teor de Gordura,0.166572501,Cereais,176.17,1995,Médio,Nível 3,Supermercado Tipo 3
DRJ59,OUT049,57924.6,11.65,Baixo Teor de Gordura,0.019402371,Bebidas Alcoólicas,38.72,2009,Médio,Nível 1,Supermercado Tipo 1
DRJ49,OUT013,232497.36,6.865,Baixo Teor de Gordura,0.0,Bebidas Não Alcoólicas,129.97,1997,Grande,Nível 3,Supermercado Tipo 1
FDI44,OUT049,185358.72,16.1,Baixo Teor de Gordura,0.10038870600000001,Frutas e Vegetais,76.03,2009,Médio,Nível 1,Supermercado Tipo 1
FDK27,OUT027,278703.88,12.857645184135977,Baixo Teor de Gordura,0.008903212,Açougue,120.98,1995,Médio,Nível 3,Supermercado Tipo 3
FDY14,OUT049,343619.38,10.3,Baixo Teor de Gordura,0.070149088,Laticínios,264.52,2009,Médio,Nível 1,Supermercado Tipo 1
FDZ45,OUT013,476180.16,14.1,Baixo Teor de Gordura,0.06682033,Lanches,198.91,1997,Grande,Nível 3,Supermercado Tipo 1
FDU39,OUT017,100735.54,18.85,Baixo Teor de Gordura,0.036241797,Açougue,57.36,2017,Desconhecido,Nível 2,Supermercado Tipo 1
NCH30,OUT018,135823.2,17.1,Baixo Teor de Gordura,0.0,Cereais,114.69,2019,Médio,Nível 3,Supermercado Tipo 2
FDZ56,OUT027,320050.06,12.857645184135977,Baixo Teor de Gordura,0.025612348,Frutas e Vegetais,168.25,1995,Médio,Nível 3,Supermercado Tipo 3
FDH17,OUT045,107659.86,16.2,Regular,0.016687114,Alimentos Congelados,96.97,2012,Desconhecido,Nível 2,Supermercado Tipo 1
FDX21,OUT046,196544.16,7.05,Baixo Teor de Gordura,0.084966021,Lanches,111.19,2007,Pequeno,Nível 1,Supermercado Tipo 1
FDV52,OUT017,400678.44,20.7,Regular,0.122208091,Alimentos Congelados,119.75,2017,Desconhecido,Nível 2,Supermercado Tipo 1
FDT14,OUT046,191750.4,10.695,Regular,0.127727102,Laticínios,121.14,2007,Pequeno,Nível 1,Supermercado Tipo 1
NCD06,OUT013,69909.0,13.0,Baixo Teor de Gordura,0.099242622,Cereais,46.31,1997,Grande,Nível 3,Supermercado Tipo 1
